主症状	mainSymptom
疾病史_冠心病_治疗情况	pastHistCoroDiseTreat
疾病史_冠心病_目前病情	pastHistCoroDiseCurrCond
疾病史_心肌梗死_疾病年限	pastHistMyocTime
疾病史_心肌梗死_治疗情况	pastHistMyocTreat
疾病史_心肌梗死_目前病情	pastHistMyocCurrCond
疾病史_脑卒中_疾病年限	pastHistApopTime
疾病史_脑卒中_治疗情况	pastHistApopTreat
疾病史_脑卒中_后遗症	pastHistApopSequ
疾病史_脑卒中_目前病情	pastHistApopCurrCond
疾病史_胆道结石_疾病年限	pastHistCholTime
疾病史_胆道结石_治疗情况	pastHistCholTreat
疾病史_胆囊炎_疾病年限	pastHistCholTime
疾病史_胆囊炎_治疗情况	pastHistCholTreat
疾病史_泌尿系结石_疾病年限	pastHistTime
疾病史_泌尿系结石_治疗情况	pastHistTreat
疾病史_阑尾炎_疾病年限	pastHistTime
疾病史_阑尾炎_治疗情况	pastHistTreat
疾病史_胰腺炎_疾病年限	pastHistTime
疾病史_胰腺炎_治疗情况	pastHistTreat
疾病史_克罗恩病_疾病年限	pastHistDiseTime
疾病史_克罗恩病_治疗情况	pastHistCrohDiseTreat
疾病史_溃疡性结肠炎_疾病年限	pastHistColiTime
疾病史_溃疡性结肠炎_治疗情况	pastHistColiTrea
疾病史_慢性肾病_疾病年限	pastHistChroKidnDiseTime
疾病史_慢性肾病_疾病名称	pastHistChroKidnDiseName
疾病史_慢性肾病_治疗情况	pastHistChroKidnDiseTreat
疾病史_慢性肝病_疾病年限	pastHistChroLiveDiseTime
疾病史_慢性肝病_疾病名称	pastHistChroLiveDiseName
疾病史_慢性肝病_治疗情况	pastHistChroLiveDiseTreat
疾病史_宫外孕_疾病年限	pastHistEctoPregTime
疾病史_宫外孕_治疗情况	pastHistEctoPregTreat
疾病史_前列腺肥大_疾病年限	pastHistProsTime
疾病史_前列腺肥大_治疗情况	pastHistProsTreat
疾病史_盆腔炎_疾病年限	pastHistPelvTime
疾病史_盆腔炎_治疗情况	pastHistPelvTreat
疾病史_卵巢囊肿_疾病年限	pastHistOvarCystTime
疾病史_卵巢囊肿_卵巢囊肿类型	pastHistOvarCystType
疾病史_卵巢囊肿_治疗情况	pastHistOvarCystTreat
疾病史_系统性红斑狼疮_疾病年限	pastHistSLETime
疾病史_系统性红斑狼疮_治疗情况	pastHistSLETreat
疾病史_强直性脊柱炎_疾病年限	pastHistAnkySponTime
疾病史_强直性脊柱炎_治疗情况	pastHistAnkySponTreat
疾病史_腰椎间盘突出_疾病年限	pastHistLumbDiscProtTime
疾病史_腰椎间盘突出_治疗情况	pastHistLumbDiscProtTrea
疾病史_慢性关节炎_疾病年限	pastHistChroArthTime
疾病史_慢性关节炎_治疗情况	pastHistChroArthTreat
个人史_饮酒类型	persHistDrinType
个人史_饮酒频次	persHistDrinFreq
个人史_戒酒年限	persHistAbstTime
个人史_吸烟年限	persHistSmokTime
个人史_每日吸烟量	persHistSmokVolu
个人史_二手烟年限	persHistSecoHandSmokTime
个人史_戒烟年限	persHistQuitSmokTime
家族史_恶性肿瘤_成员关系	FamiHistDetaMaliTumoMembRela
家族史_高血压_成员关系	FamiHistDetaHypeMembRela
家族史_心脏病_成员关系	FamiHistDetaHearMembRela
家族史_糖尿病_成员关系	FamiHistDetaDiabMembRela
家族史_脑卒中_成员关系	FamiHistDetaCereApopMembRela
家族史_自身免疫性疾病_成员关系	FamiHistDetaAutoDiseMembRela
家族史_家族性腺瘤性息肉_成员关系	FamiHistDetaFamiAdenPolyMembRela
手术史_阑尾切除术_手术距今时长	operHistAppeTime
手术史_胆囊切除术_手术距今时长	operHistCholTime
手术史_胰腺切除术_手术距今时长	operHistPancTime
手术史_开腹或经内镜取石术_手术距今时长	operHistOpenEndoLithime
手术史_绝育术_手术距今时长	operHistSterTime
手术史_单侧输卵管切除术_手术距今时长	operHistUnilSalpTime
手术史_双侧输卵管切除术_手术距今时长	operHistBilaSalpTime
手术史_卵巢手术（不详）_手术距今时长	operHistOvarSurgUnknTime
手术史_双侧卵巢切除术_手术距今时长	operHistBilaOophTime
手术史_子宫切除术_手术距今时长	operHistHystTime
手术史_人工流产术_手术距今时长	operHistInduAborTime
手术史_其他腹内脏器手术_手术距今时长	operHistOtheAbdoOrgaOperTime
血HCG测定_血HCG测定	chorGona
尿妊娠试验	urinPregTest
超敏C反应蛋白测定	hypeCReacProt
血沉	erytSediRate
